Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
MTTR,13.34,2022/01/14,16:00 EST,-0.77999973,13.96,14.35,12.9877,11175729,,,,,,,
DKNG,23.19,2022/01/14,16:00 EST,-1.0499992,24.05,24.5392,22.41,31622468,20211229,26.4,15.0,,,,
NLY,7.94,2022/01/14,16:00 EST,-0.049999714,7.99,8.0,7.86,24817571,,,,,,,
HOOD,15.17,2022/01/14,16:00 EST,-0.13000011,15.09,15.7287,14.73,16623592,20211027,35.0,35.0,,,,
HOOD,15.17,2022/01/14,16:00 EST,-0.13000011,15.09,15.7287,14.73,16623592,20211214,18.5,40.0,,,,
ETH-CAD,4165.058,2022/01/15,04:22 UTC,-4.71875,4176.1562,4183.6143,4147.7505,11838129152,,,,,,,
NTSX,42.77,2022/01/14,16:00 EST,-0.23999786,42.68,42.8516,42.4,133123,,,,,,,
BTC-CAD,54025.156,2022/01/15,04:22 UTC,-126.72266,54109.363,54141.64,53897.98,23174840320,,,,,,,
UBER,41.51,2022/01/14,16:00 EST,-1.3600006,42.4,42.72,40.355,25624623,20210429,54.5,40.0,,,,
UBER,41.51,2022/01/14,16:00 EST,-1.3600006,42.4,42.72,40.355,25624623,20210802,43.5,20.0,,,,
MILE,1.83,2022/01/14,16:00 EST,0.0,1.81,1.85,1.755,4442371,,,,,,,
"^TYX",2.1139998,2022/01/14,14:59 EST,0.059000015,2.0709999,2.117,2.051,,,,,,,,
"^FVX",1.548,2022/01/14,14:59 EST,0.06699991,1.495,1.551,1.472,,,,,,,,
"^IRX",0.11799999,2022/01/14,14:59 EST,0.007999994,0.113,0.11799999,0.113,,,,,,,,
"^TNX",1.772,2022/01/14,14:59 EST,0.06099987,1.7260001,1.775,1.706,0,,,,,,,
TSLA,1049.61,2022/01/14,16:00 EST,18.049927,1019.88,1051.9999,1013.3788,23981993,20210225,710.0,5.0,,,,
TSLA,1049.61,2022/01/14,16:00 EST,18.049927,1019.88,1051.9999,1013.3788,23981993,20210308,605.0,5.0,,,,
TSLA,1049.61,2022/01/14,16:00 EST,18.049927,1019.88,1051.9999,1013.3788,23981993,20210512,590.0,5.0,,,,
TSLA,1049.61,2022/01/14,16:00 EST,18.049927,1019.88,1051.9999,1013.3788,23981993,20210519,550.0,5.0,,,,
SBUX,100.12,2022/01/14,16:00 EST,-2.2799988,101.91,101.85,99.09,13574828,20210129,96.5,20.0,,,,
BAC,47.91,2022/01/14,16:00 EST,-0.849998,47.52,48.2299,47.19,72953325,20201229,29.95,35.0,,,,
BAC,47.91,2022/01/14,16:00 EST,-0.849998,47.52,48.2299,47.19,72953325,20210127,29.9,30.0,,,,
HHC,101.42,2022/01/14,16:00 EST,-1.0400009,101.35,102.175,100.3,289647,20201222,80.85,30.0,,,,
ABNB,163.99,2022/01/14,16:00 EST,-2.0099945,165.75,167.63,160.25,4116258,,,,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20201127,28.2,30.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20201201,24.85,30.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20201202,21.9,30.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20201228,26.0,40.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20201231,24.0,40.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20210216,28.5,50.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20210225,23.9,60.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20210324,22.8,30.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20210504,21.8,20.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20210506,19.79,20.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20211109,24.25,30.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20211112,22.5,40.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20211201,19.9,30.0,,,,
PLTR,16.01,2022/01/14,16:00 EST,0.0,15.94,16.2485,15.62,35049988,20220105,16.95,30.0,,,,
BYL.TO,0.82,2022/01/14,15:23 EST,-0.01999998,0.84,0.84,0.81,45584,20190801,3.6,200.0,,,,
BBD-B.TO,1.78,2022/01/14,16:00 EST,0.03999996,1.72,1.78,1.72,3891326,20190411,2.74,200.0,,,,
NOK,5.93,2022/01/14,16:02 EST,0.03999996,5.87,5.93,5.81,26853963,20190325,6.4,50.0,,,,
NPI.TO,35.25,2022/01/14,16:00 EST,-0.41999817,35.6,35.7,35.09,441006,20200303,25.24,40.0,,,,
DAL,40.31,2022/01/14,16:00 EST,-1.1599998,40.79,40.86,39.55,16955928,20200624,27.5,30.0,,,,
SNAP,38.04,2022/01/14,16:00 EST,-0.34000015,37.72,38.33,36.56,25000272,20190715,15.57,30.0,,,,
SNAP,38.04,2022/01/14,16:00 EST,-0.34000015,37.72,38.33,36.56,25000272,20190801,16.84,30.0,,,,
SNAP,38.04,2022/01/14,16:00 EST,-0.34000015,37.72,38.33,36.56,25000272,20191017,13.79,50.0,,,,
SNAP,38.04,2022/01/14,16:00 EST,-0.34000015,37.72,38.33,36.56,25000272,20211025,55.0,10.0,,,,
DIS,151.94,2022/01/14,16:02 EST,-3.5,152.35,152.62,148.415,16613606,20200609,123.8,30.0,,,,
DIS,151.94,2022/01/14,16:02 EST,-3.5,152.35,152.62,148.415,16613606,20200611,113.25,25.0,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,20190507,124.5,5.0,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,20190718,135.0,20.0,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,20190802,135.5,40.0,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,20190805,131.84,20.0,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,20200306,159.8,20.0,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,20200527,177.3,35.0,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,20190412,120.63,10.0,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,20190502,126.2,10.0,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,20190507,124.95,5.0,,,,
SQ,133.29,2022/01/14,16:00 EST,-3.6600037,135.0,138.66,129.3076,18229137,20191230,61.95,25.0,,,,
SQ,133.29,2022/01/14,16:00 EST,-3.6600037,135.0,138.66,129.3076,18229137,20200221,82.95,25.0,,,,
SQ,133.29,2022/01/14,16:00 EST,-3.6600037,135.0,138.66,129.3076,18229137,20200326,55.8,20.0,,,,
SQ,133.29,2022/01/14,16:00 EST,-3.6600037,135.0,138.66,129.3076,18229137,20200401,46.5,25.0,,,,
SQ,133.29,2022/01/14,16:00 EST,-3.6600037,135.0,138.66,129.3076,18229137,20200527,76.9,35.0,,,,
SQ,133.29,2022/01/14,16:00 EST,-3.6600037,135.0,138.66,129.3076,18229137,20200715,119.8,15.0,,,,
SQ,133.29,2022/01/14,16:00 EST,-3.6600037,135.0,138.66,129.3076,18229137,20200807,144.75,20.0,,,,
