Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
MTTR,8.51,2022/01/28,16:00 EST,0.07000065,8.47,8.61,7.51,20971667,,,,,,,
DKNG,20.64,2022/01/28,16:00 EST,1.25,19.4334,20.88,18.89,35011626,20211229,26.4,15.0,,,,
NLY,7.78,2022/01/28,16:00 EST,0.0700002,7.7,7.79,7.59,26814305,,,,,,,
HOOD,12.73,2022/01/28,16:00 EST,1.1199999,9.97,12.8599,9.94,69488935,20211027,35.0,35.0,,,,
HOOD,12.73,2022/01/28,16:00 EST,1.1199999,9.97,12.8599,9.94,69488935,20211214,18.5,40.0,,,,
ETH-CAD,3317.0571,2022/01/29,22:37 UTC,58.944336,3248.7644,3354.6152,3226.9373,14519102464,,,,,,,
NTSX,40.61,2022/01/28,16:00 EST,0.88000107,39.76,40.78,39.53,149994,,,,,,,
BTC-CAD,48655.727,2022/01/29,22:37 UTC,75.34375,48186.574,49251.21,47759.836,21852542976,,,,,,,
UBER,35.21,2022/01/28,16:00 EST,1.1199989,34.17,35.22,32.81,27797694,20210429,54.5,40.0,,,,
UBER,35.21,2022/01/28,16:00 EST,1.1199989,34.17,35.22,32.81,27797694,20210802,43.5,20.0,,,,
MILE,1.51,2022/01/28,16:00 EST,0.08000004,1.44,1.55,1.4,1603165,,,,,,,
"^TYX",2.083,2022/01/28,14:59 EST,-0.008000135,2.123,2.1430001,2.078,,,,,,,,
"^FVX",1.624,2022/01/28,14:59 EST,-0.038000107,1.683,1.691,1.614,,,,,,,,
"^IRX",0.17300001,2022/01/28,14:59 EST,-0.0119999945,0.188,0.188,0.17,,,,,,,,
"^TNX",1.782,2022/01/28,14:59 EST,-0.024999976,1.834,1.8479999,1.7770001,0,,,,,,,
TSLA,846.35,2022/01/28,16:00 EST,17.25,831.56,857.5,792.01,44340957,20210225,710.0,5.0,,,,
TSLA,846.35,2022/01/28,16:00 EST,17.25,831.56,857.5,792.01,44340957,20210308,605.0,5.0,,,,
TSLA,846.35,2022/01/28,16:00 EST,17.25,831.56,857.5,792.01,44340957,20210512,590.0,5.0,,,,
TSLA,846.35,2022/01/28,16:00 EST,17.25,831.56,857.5,792.01,44340957,20210519,550.0,5.0,,,,
SBUX,97.21,2022/01/28,16:00 EST,1.8899994,95.06,97.22,93.79,8345419,20210129,96.5,20.0,,,,
BAC,45.87,2022/01/28,16:00 EST,0.399998,45.325,45.89,44.45,46786667,20201229,29.95,35.0,,,,
BAC,45.87,2022/01/28,16:00 EST,0.399998,45.325,45.89,44.45,46786667,20210127,29.9,30.0,,,,
HHC,91.82,2022/01/28,16:00 EST,1.88,89.26,91.89,87.71,335648,20201222,80.85,30.0,,,,
ABNB,142.77,2022/01/28,16:00 EST,4.3600006,138.545,143.11,134.3743,5461362,,,,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20201127,28.2,30.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20201201,24.85,30.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20201202,21.9,30.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20201228,26.0,40.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20201231,24.0,40.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20210216,28.5,50.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20210225,23.9,60.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20210324,22.8,30.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20210504,21.8,20.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20210506,19.79,20.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20211109,24.25,30.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20211112,22.5,40.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20211201,19.9,30.0,,,,
PLTR,12.71,2022/01/28,16:00 EST,0.4300003,12.3,12.88,11.89,54284268,20220105,16.95,30.0,,,,
BYL.TO,0.91,2022/01/28,15:59 EST,0.01000005,0.91,0.92,0.9,27114,20190801,3.6,200.0,,,,
BBD-B.TO,1.69,2022/01/28,16:00 EST,0.060000062,1.64,1.69,1.61,4027229,20190411,2.74,200.0,,,,
NOK,5.72,2022/01/28,16:00 EST,0.12999964,5.63,5.72,5.5125,33240417,20190325,6.4,50.0,,,,
NPI.TO,35.54,2022/01/28,16:00 EST,0.45000076,35.19,35.59,35.02,906579,20200303,25.24,40.0,,,,
DAL,38.28,2022/01/28,16:00 EST,-0.0600014,38.11,38.39,36.77,12889144,20200624,27.5,30.0,,,,
SNAP,30.42,2022/01/28,16:00 EST,2.1200008,28.63,30.48,28.13,27990963,20190715,15.57,30.0,,,,
SNAP,30.42,2022/01/28,16:00 EST,2.1200008,28.63,30.48,28.13,27990963,20190801,16.84,30.0,,,,
SNAP,30.42,2022/01/28,16:00 EST,2.1200008,28.63,30.48,28.13,27990963,20191017,13.79,50.0,,,,
SNAP,30.42,2022/01/28,16:00 EST,2.1200008,28.63,30.48,28.13,27990963,20211025,55.0,10.0,,,,
DIS,138.63,2022/01/28,16:02 EST,3.21001,135.21,138.69,133.6,10011666,20200609,123.8,30.0,,,,
